int	string
id	说话内容
id	content
1001	大家心目中最佳男演员的人选是谁呢~
1002	获得本奖项提名的有
1003	{0}
1004	{1}
1005	{2}
1006	{3}
1007	{4}
1008	我觉得{0}是本奖项最有力的竞争者！
1009	{2}获奖才是众望所归！
1010	那么，最终获奖者为
1011	大屏幕上最终出现的得奖者名字会是谁呢
1012	{5}
1013	我的眼光果然没错！
1014	{0}
1015	我就知道一定会是你！
1016	太棒了！获奖消息在推特上的转发量瞬间就破万了！
2001	接下来即将揭晓的是同样万众瞩目的最佳女演员~
2002	获得本奖项提名的有
2003	{0}
2004	{1}
2005	{2}
2006	{3}
2007	{4}
2008	这奖肯定要颁给{0}吧
2009	{2}不得奖简直天理难容
2010	那么，最终获奖者为
2011	大屏幕上最终出现的得奖者名字会是谁呢
2012	{5}
2013	这是一个没有悬念的结果
2014	{0}
2015	毫无争议，实至名归
2016	天哪我简直比自己拿奖还要激动！
3001	现在让我们看看获得最佳表演电影提名的影片
3002	获得本奖项提名的有
3003	{0}
3004	{1}
3005	{2}
3006	{3}
3007	{4}
3008	这个名单我是服气的
3009	{3}的光芒太耀眼啦，其他公司根本不是对手
3010	这都飞龙骑脸了不可能输！
3011	让我们看看这个奖项最终花落谁家~
3012	让我们屏住呼吸等待大屏幕上出现的结果
3013	{5}！
3014	是它，就是它！
3015	{0}
3016	那么，让我们进入下一环节
3017	今天的头条就要被我们承包了~
4001	大家所关注的最佳艺术电影马上就要揭晓啦~
4002	获得本奖项提名的有
4003	{0}
4004	{1}
4005	{2}
4006	{3}
4007	{4}
4008	{0}应该会成为最大赢家
4009	我觉得{2}是最符合这个奖项的
4010	究竟谁会获奖呢？谜底马上就要揭晓啦~
4011	请大家注意看大屏幕！
4012	{5}
4013	我疯狂打Call！
4014	{0}
4015	这才对嘛！
4016	这电影真的太好看了真的！吃我安利！
5001	好了，接下来让我们看看最受欢迎电影的提名
5002	获得本奖项提名的有
5003	{0}
5004	{1}
5005	{2}
5006	{3}
5007	{4}
5008	我相信我的选择！
5009	{3}天下无敌！
5010	求别立flag
5011	几部电影的粉丝们都很激动呢，究竟谁会捧走奖杯呢？
5012	本次的获奖电影就是——请看大屏幕！
5013	{5}！
5014	优秀优秀
5015	{0}
5016	那么，让我们进入下一环节
5017	不管你是谁，只要你喜欢这部电影，我们就是一辈子的好朋友！
