int	string	string[]	string[]	string
id	名称	当前档次信息	下一档次信息	名称
id	name	current_msg	next_msg	name_tips
1001				
1002				
1003				
1004				
1005				
1006				
1007				
1008				
1009				
1010				
2001				
2002				
2003				
2004				
2005				
2006				
2007				
2008				
2009				
2010				
3001				
3002				
3003				
3004				
3005				
3006				
3007				
3008				
3009				
3010				
4001				
4002				
4003				
4004				
4005				
4006				
4007				
4008				
4009				
4010				
5001				
5002				
5003				
5004				
5005				
5006				
5007				
5008				
5009				
5010				
