int	string	int	int	int	int	int	DTItemNum[]	int	int
编号	任务名称	解锁建筑	任务要求:|n|1建造建筑|n|2升级建筑|n|3升级艺人|n|4招募艺人|n|5街道宣传|n|6进行路演|n|7占领城市|n|8拍摄电影|n|9查看电影收益|n|10领取电影收益次数|n|11提升关注度|n|12任命形象大使|n|13选择重点宣传城市|n|14领取城市收益|n|15进行生产|n|16完成订单|n|17处理公务|n|18接待粉丝|n|19领取电影收益数量	要求参数|n|1建筑ID|n|2建筑ID|n|3艺人等级|n|4拥有艺人数量|n|5街道ID|n|6城市ID|n|7城市ID|n|8拍摄电影数量|n|9打开收益界面|n|10领取收益次数|n|11电影关注度次数|n|12城市ID|n|13宣传城市ID|n|14领取城市收益数量|n|15生产次数|n|16完成订单数量|n|17处理公务数量|n|18接待粉丝次数|n|19领取电影收益数量	副要求参数|n|2建筑等级|n|3艺人数量|n|12形象大使数量	任务类型|n|1=日程|n|2=成就|n|3=剧本成就|n|4=主线任务	奖励	完成度奖励	前置任务ID
id	zh_cn_name	unlock	require	goal	s_goal	type	reward	Complete	pre_id
1001	拍摄5部电影	1002		5		1	3:20000	10	0
1002	升级艺人10次	1002		10		1	3:20000	10	0
1003	培养艺人1次	1002		1		1	3:20000	5	0
1004	赠送艺人礼物10个	1002		10		1	3:20000	5	0
1005	让3名艺人完成技能训练	1002		3		1	3:20000	5	0
1006	升级艺人技能1次	1002		1		1	3:20000	5	0
1007	完成公务30次	1002		30		1	3:20000	5	0
1008	完成会议10次	1002		10		1	3:20000	5	0
1009	接见粉丝10次	1002		10		1	3:20000	5	0
1010	城市宣传20次	1002		20		1	3:20000	5	0
1011	领取城市收益5次	1002		5		1	3:20000	5	0
1012	祝贺总排行榜1次	1002		1		1	3:20000	5	0
1013	祝贺影片排行榜1次	1002		1		1	3:20000	5	0
1014	领取比赛礼包1次	1002		1		1	3:20000	5	0
1015	升级宝物1次	1002		1		1	3:20000	5	0
1016	进行10次生产	1002		10		1	3:20000	5	0
1017	完成10个订单	1002		10		1	3:20000	5	0
1018	领取影片持续收益3次	1002		3		1	3:20000	5	0
1019	用宣传册提升电影关注度5次	1002		5		1	3:20000	5	0
1020	向合作者赠送1次美元	1002		1		1	3:20000	10	0
1021	完成1个合作任务	1002		1		1	3:20000	10	0
1022	装填1次合作订单	1002		1		1	3:20000	10	0
3101	解锁{0}个剧本	0		10		3	1:10	0	0
3102	解锁{0}个剧本	0		20		3	1:20	0	3101
3103	解锁{0}个剧本	0		30		3	1:30	0	3102
3104	解锁{0}个剧本	0		40		3	1:40	0	3103
3105	解锁{0}个剧本	0		50		3	1:50	0	3104
3106	解锁{0}个剧本	0		60		3	1:60	0	3105
3107	解锁{0}个剧本	0		70		3	1:70	0	3106
3108	解锁{0}个剧本	0		80		3	1:80	0	3107
3109	解锁{0}个剧本	0		90		3	1:90	0	3108
3110	解锁{0}个剧本	0		100		3	1:100	0	3109
3201	解锁剧本的星级总计达到{0}个	0		10		3	1:10	0	0
3202	解锁剧本的星级总计达到{0}个	0		20		3	1:20	0	3201
3203	解锁剧本的星级总计达到{0}个	0		30		3	1:30	0	3202
3204	解锁剧本的星级总计达到{0}个	0		40		3	1:40	0	3203
3205	解锁剧本的星级总计达到{0}个	0		50		3	1:50	0	3204
3206	解锁剧本的星级总计达到{0}个	0		60		3	1:60	0	3205
3207	解锁剧本的星级总计达到{0}个	0		70		3	1:70	0	3206
3208	解锁剧本的星级总计达到{0}个	0		80		3	1:80	0	3207
3209	解锁剧本的星级总计达到{0}个	0		90		3	1:90	0	3208
3210	解锁剧本的星级总计达到{0}个	0		100		3	1:100	0	3209
3301	完成{0}个剧本的挑战	0		10		3	1:10	0	0
3302	完成{0}个剧本的挑战	0		20		3	1:20	0	3301
3303	完成{0}个剧本的挑战	0		30		3	1:30	0	3302
3304	完成{0}个剧本的挑战	0		40		3	1:40	0	3303
3305	完成{0}个剧本的挑战	0		50		3	1:50	0	3304
3306	完成{0}个剧本的挑战	0		60		3	1:60	0	3305
3307	完成{0}个剧本的挑战	0		70		3	1:70	0	3306
3308	完成{0}个剧本的挑战	0		80		3	1:80	0	3307
3309	完成{0}个剧本的挑战	0		90		3	1:90	0	3308
3310	完成{0}个剧本的挑战	0		100		3	1:100	0	3309
1100	建造电影院	1001	1	1		4	9001:30;3:2000	0	0
1101	建造摄影棚	2001	1	2		4	3:2000		
1102	拍摄第1部电影		8	1		4	2:2000		
1103	查看电影持续收益		9	1		4	3:2000;9001:40		
1104	领取1次电影持续收益		10	1		4	3:2000;9004:30		
1105	建造艺人教室	3001	1	3		4	6:1000;3:2000		
1106	招募1个新艺人		4	2		4	2:2000;9001:40		
1107	将1位艺人升到5级		3	5	1	4	9002:15;2:2000		
1108	建造市场部	4001	1	4		4	3:2000;9002:30		
1109	在星光大道完成宣传	11001	5	11001		4	3:2000		
1110	将市场部升至2级	4002	2	4	2	4	5005:50		
1111	累计提升1次电影关注度		11	1		4	2:2000		
1112	在环球影城放置代言人并完成宣传	11002	5	11002		4	3:2000		
1113	在盖蒂中心完成宣传	11003	5	11003		4	3:2000		
1114	顺利进行1次路演		6	1101		4	9002:15;2:2000		
1115	占领洛杉矶的市场	1101	7	1101		4	3:2000		
1116	在洛杉矶任命1位形象大使		12	1101	1	4	3:2000		
1117	为1部电影选择重点宣传城市		13	1101		4	3:2000		
1118	累计提升2次电影关注度		11	2		4	3:2000		
1119	将2位艺人升到5级		3	5	2	4	9001:50;3:2000		
1120	拍摄第2部电影		8	2		4	9002:15;2:2000		
1121	建造宣传部	5001	1	5		4	3:2000;5005:50		
1122	成功进行第2次路演		6	1102		4	2:2000		
1123	占领纽约的市场	1102	7	1102		4	3:2000		
1124	在纽约任命1位形象大使		12	1102	1	4	3:2000		
1125	累计提升3次电影关注度		11	3		4	3:2000		
1126	同时任命2位形象大使		12	1102	2	4	3:5000		
1127	累计领取电影持续收益超过500美元		19	500		4	2:2000		
1128	累计领取城市经营收益超过100金币		14	100		4	3:5000		
1129	将1位艺人升到10级		3	10	1	4	9003:10;3:5000		
1130	在华盛顿的国会山完成宣传	11008	5	11008		4	3:5000		
1131	建造仓库	6001	1	6		4	9002:25;3:5000		
1132	进行生产		15	1		4	9001:50;3:5000		
1133	建造销售部	7001	1	7		4	9001:30;3:5000		
1134	升级摄影棚	2002	2	2	2	4	9001:40;3:5000		
1135	建造商务部	8001	1	8		4	9001:50;3:5000		
1136	拍摄第3部电影		8	3		4	3:5000		
1137	完成订单		16	1		4	3:5000		
1138	占领华盛顿的市场	1103	7	1103		4	3:5000		
1139	同时任命3位形象大使		12	1103	3	4	3:5000		
1140	将1位艺人升到20级		3	20	1	4	9002:30;3:10000		
1141	占领芝加哥的市场	1104	7	1104		4	2:2000		
1142	建造办公室	9001	1	9		4	9001:50;2:2000		
1143	处理3次公务		17	3		4	9002:30;2:2000		
1144	累计领取电影持续收益超过5000美元		19	5000		4	2:2000		
1145	累计领取城市经营收益超过500金币		14	500		4	3:10000		
1146	累计完成5次生产		15	5		4	2:2000		
1147	建造接待室	10001	1	10		4	2:2000		
1148	接待1位粉丝		18	1		4	2:2000		
