int	int	int	string	int	int	int	int	int	int
id	媒体id	等级	媒体名称	升级需求使用次数	消耗道具类型	消耗数量	最小期待值增加	最大期待值增加	图片路径
id	mediaId	level	zh_cn_name	levelup_req	cost_id	cost_num	min_expection	max_expection	pic
1001	1	1	夜现场	1	5002	10	9	10	6015
1002	1	2	夜现场	2	5002	10	9	10	6015
1003	1	3	夜现场	3	5002	10	9	10	6015
1004	1	4	夜现场	4	5002	10	9	10	6015
1005	1	5	夜现场	5	5002	10	9	10	6015
1006	1	6	夜现场	6	5002	10	9	10	6015
1007	1	7	夜现场	7	5002	10	9	10	6015
1008	1	8	夜现场	8	5002	10	9	10	6015
1009	1	9	夜现场	9	5002	10	9	10	6015
1010	1	10	夜现场	10	5002	10	9	10	6015
1011	1	11	夜现场	11	5002	10	9	10	6015
1012	1	12	夜现场	12	5002	10	9	10	6015
1013	1	13	夜现场	13	5002	10	9	10	6015
1014	1	14	夜现场	14	5002	10	9	10	6015
1015	1	15	夜现场	15	5002	10	9	10	6015
1016	1	16	夜现场	16	5002	10	9	10	6015
1017	1	17	夜现场	17	5002	10	9	10	6015
1018	1	18	夜现场	18	5002	10	9	10	6015
1019	1	19	夜现场	19	5002	10	9	10	6015
1020	1	20	夜现场	20	5002	10	9	10	6015
2001	2	1	中国有演员	1	5002	10	9	10	6016
2002	2	2	中国有演员	2	5002	10	9	10	6016
2003	2	3	中国有演员	3	5002	10	9	10	6016
2004	2	4	中国有演员	4	5002	10	9	10	6016
2005	2	5	中国有演员	5	5002	10	9	10	6016
2006	2	6	中国有演员	6	5002	10	9	10	6016
2007	2	7	中国有演员	7	5002	10	9	10	6016
2008	2	8	中国有演员	8	5002	10	9	10	6016
2009	2	9	中国有演员	9	5002	10	9	10	6016
2010	2	10	中国有演员	10	5002	10	9	10	6016
2011	2	11	中国有演员	11	5002	10	9	10	6016
2012	2	12	中国有演员	12	5002	10	9	10	6016
2013	2	13	中国有演员	13	5002	10	9	10	6016
2014	2	14	中国有演员	14	5002	10	9	10	6016
2015	2	15	中国有演员	15	5002	10	9	10	6016
2016	2	16	中国有演员	16	5002	10	9	10	6016
2017	2	17	中国有演员	17	5002	10	9	10	6016
2018	2	18	中国有演员	18	5002	10	9	10	6016
2019	2	19	中国有演员	19	5002	10	9	10	6016
2020	2	20	中国有演员	20	5002	10	9	10	6016
3001	3	1	与大亨同行	1	5002	10	9	10	6017
3002	3	2	与大亨同行	2	5002	10	9	10	6017
3003	3	3	与大亨同行	3	5002	10	9	10	6017
3004	3	4	与大亨同行	4	5002	10	9	10	6017
3005	3	5	与大亨同行	5	5002	10	9	10	6017
3006	3	6	与大亨同行	6	5002	10	9	10	6017
3007	3	7	与大亨同行	7	5002	10	9	10	6017
3008	3	8	与大亨同行	8	5002	10	9	10	6017
3009	3	9	与大亨同行	9	5002	10	9	10	6017
3010	3	10	与大亨同行	10	5002	10	9	10	6017
3011	3	11	与大亨同行	11	5002	10	9	10	6017
3012	3	12	与大亨同行	12	5002	10	9	10	6017
3013	3	13	与大亨同行	13	5002	10	9	10	6017
3014	3	14	与大亨同行	14	5002	10	9	10	6017
3015	3	15	与大亨同行	15	5002	10	9	10	6017
3016	3	16	与大亨同行	16	5002	10	9	10	6017
3017	3	17	与大亨同行	17	5002	10	9	10	6017
3018	3	18	与大亨同行	18	5002	10	9	10	6017
3019	3	19	与大亨同行	19	5002	10	9	10	6017
3020	3	20	与大亨同行	20	5002	10	9	10	6017
4001	4	1	主角的诞生	1	5002	10	9	10	6018
4002	4	2	主角的诞生	2	5002	10	9	10	6018
4003	4	3	主角的诞生	3	5002	10	9	10	6018
4004	4	4	主角的诞生	4	5002	10	9	10	6018
4005	4	5	主角的诞生	5	5002	10	9	10	6018
4006	4	6	主角的诞生	6	5002	10	9	10	6018
4007	4	7	主角的诞生	7	5002	10	9	10	6018
4008	4	8	主角的诞生	8	5002	10	9	10	6018
4009	4	9	主角的诞生	9	5002	10	9	10	6018
4010	4	10	主角的诞生	10	5002	10	9	10	6018
4011	4	11	主角的诞生	11	5002	10	9	10	6018
4012	4	12	主角的诞生	12	5002	10	9	10	6018
4013	4	13	主角的诞生	13	5002	10	9	10	6018
4014	4	14	主角的诞生	14	5002	10	9	10	6018
4015	4	15	主角的诞生	15	5002	10	9	10	6018
4016	4	16	主角的诞生	16	5002	10	9	10	6018
