int	string	string	string	string
ID	备注	UI编号	UI元件名称	值
id	comment	name	mz	value
1	Activity - ActivityMain	9qou8rs7sga10-n5_sga1	title	Title
2	Activity - ActivityMain	9qou8rs7sga10-n11_ac07	title	Event
3	Activity - ActivityMain	9qou8rs7sga10-n23_ynh3	noActivity	No Event Available
4	Activity - ActivitySeven	9qou8rs7sga12-n10_sga1	tip1	Event Time:
5	Activity - ActivitySeven	9qou8rs7sga12-n11_sga1	tip2	Event Intro:
6	Activity - ActivitySeven	9qou8rs7sga12-n13_sga1	tip2Val	New palyer can sign contract with [4 star] actor {Actor's name} by consume {0} diamonds during 10 days
7	Activity - ActivityTopItemBtn	9qou8rs7sga11-n3_sga1	title	Tip
8	Activity - Dialog	9qou8rs7f9f11e-n9_hz3m	title	Title
9	Activity - LicenseReq	9qou8rs7ac07w-n8_ac07	tip1	License
10	Activity - LicenseReq	9qou8rs7ac07w-n9_ac07	tip2	License
11	Activity - LicenseReq	9qou8rs7ac07w-n10_ac07	tip3	License
12	Activity - ApplyLicensePanel	9qou8rs7vuzmf-n21_hh76	msgTitle	You can enjoy these privileges:
13	Activity - LicenseReq	9qou8rs7ac07w-n13_ac07	okBtn	APPLY
14	Activity - SecretaryButton	9qou8rs7rrsj7-n16_hh76	title	Secretary
15	Activity - SecretaryCommon	9qou8rs7rrsj8-n3_hh76	n3	Tap anywhere to continue
16	Activity - SecretaryGiftButton	9qou8rs7rrsja-n14_hh76	title	BUY
17	Activity - SecretaryGiftPanel	9qou8rs7rrsjb-n4_hh76	title	Secretary Package
18	Activity - SecretaryGiftPanel	9qou8rs7rrsjb-n5_hh76	des	Unlock after hiring a secretary
19	Activity - SecretaryPanel	9qou8rs7rrsjc-n21_hh76	msgTitle	You can enjoy these privileges:
20	Activity - SecretaryPanel	9qou8rs7rrsjc-n30_hh76	welfareBtn	Daily Gift
21	Activity - SecretaryPanel	9qou8rs7rrsjc-n13_hh76	tipmsg	Hired
22	Activity - Dialog	9qou8rs7c3b71e-n9_hz3m	title	History
23	Activity - SecretaryWelfareMsgItem	9qou8rs7rrsjd-n0_hh76	title	Daily Gift
24	Activity - SevenItem	9qou8rs7sga13-n2_sga1	dayTip	Day 1
25	Activity - SevenItem	9qou8rs7sga13-n3_sga1	okBtn	CLAIM
