int	string	string
剧本id	剧本名称	简介
id	story_name	introduction
1001	Ignoble Jerks	A plot to end WWII is in place. Two players in the game of war meet at a bar owned by Katrina Konrad and a showdown ensues. Their actions send ripples throughout the fronts and impact the war in ways that were never originally intended. Will the plan be carried out or extend the war further?
1002	Field Doctor	Edward is a highly religious farm boy from Idaho. He knows he must serve his country and volunteers to be a marine. His commander thinks he is crazy and tries to break his will, but fails. Instead he makes him a battlefield medic. Edward befriends Carl, another brave medic and together they save countless lives.
1003	Old Men Fighting	An old army veteran is contacted by his old commander and tells him there is a new mission brewing. They are putting together a team of the toughest soldiers in the world. They need to kill a general gone rogue. Dropped in the jungle, they encounter a lone warrior who has been fighting this general for years.
1004	King of Wartime	Nickis an international arms smuggler. With the help of his lovely assistant he is making millions of dollars selling weapons of death to guerilla warriors. He befriends a young revolutionary named who shows him the dark side of war. Together, they decide to try to work towards good instead.
1005	The List	Otto is a factory owner in Nazi Germany. He decides he can't support the war and takes action to help Jewish workers by hiring them to protect them.  Otto's factory is moved to Poland where the SS commander, does everything he can to torture the employees. Otto formulates a plan to save as many Jewish lives as possible.
1006	Operation Save	During a world war of nations, a mother gets news that 8 of her sons have died during the war. 1 still lives. In order to save him, she convinces a squad of veterans to go in and save him.
1007	A Long Battle	Countless British soldiers are forced to survive on the beaches of Bobkirk as the Germans press forward. On the other side of the English channel, a fishing family prepare their tiny boat to try and help rescue their stranded brethren.
1008	Me, My Horse and I	A young boy is sent to the battlelines of WW1. His best friend fights by his side and together they live and survive through hell. At the darkest moment, he finds a valliant horse that he begins to ride on through the battle stations. Legends of this brave horse and the man who rides it begin to form.
1009	Waiting for You	In the midst of the civil war, Kellyann finds herself running for her life to escape the violence. With her lover, Grant, she escapes danger after danger and works to better her life.
1010	Deadly Shot	A young Russian recruit is thrust into the middle of WW2 without a rifle. Stuck in the battle for Stalingrad, he find a weapon and begins killing Nazis. He turns out to be the greatest sniper in history. But the Germans are ready to unleash a secret weapon to stop him.
1011	Lone Walk	An Iraq veteran is having Thanksgiving dinner with his family. While the football game plays on TV, he is reminded of the fierce battle that ranged there and goes on a long trip down memory lane.
1012	A Harbor Attacked	Two best friends who grew up together find themselves stationed on Hawaii the day before the Japanese attack on Pearl Harbor. When the Zero planes start flying and bombing American ships, they show their amazing piloting skills and fight for their country.
1013	Ride with Dinosaurs	Genetic biologists have discovered a way to bring dinosaurs back to life and safari park is opened to display them. When a group of guests find themselves stranded in the park with little security, they must use their wits or fight their way out.
1014	A Train Full of Dead	The ground zero of a zombie outbreak happens on a train ride. Trapped on the train, a father and daughter must find a way to survive fighting both zombie and human.
1015	Call Me By Your Name	A famed ship leaves harbor with thousands of passengers on board. Eager about the future they will meet in America, a young couple falls into a forbidden love. Everything changes when the ship hits a whale.
