int	string	string	int	int	DTItemNum[]	int	DTItemNum	int
编号	一级名称	二级名称	头像	街区	需求	品质1=白色2=蓝色3=金色4=紫色	奖励	期待值
id	zh_cn_name1	zh_cn_name2	icon	block	need	quality	reward	expect
1001	周边换购	学校开放日的申请	7301	1001	4001:2;4002:2	1	2:1000	5
1002	地下渠道	来自地下渠道的消息	7302	1001	4003:2;4004:2	1	5005:10	5
1003	周边换购	紧急替代品请求	7303	1001	4001:4;4004:4	2	5005:15	10
1004	周边换购	对手的竞争性请求	7304	1001	4003:5;4004:5	3	5004:3	15
1005	暗中交易	竞争对手提出的交易	7305	1001	4005:6;4001:6	4	9002:4	20
1006	周边换购	学校开放日的申请	7306	1002	4001:2;4002:2	1	2:2000	5
1007	地下渠道	来自地下渠道的消息	7307	1002	4001:2;4002:2	1	5005:10	5
1008	周边换购	紧急替代品请求	7308	1002	4001:2;4002:2	1	5005:11	5
1009	周边换购	对手的竞争性请求	7309	1002	4001:2;4002:2	1	5005:12	5
1010	暗中交易	竞争对手提出的交易	7310	1002	4001:2;4002:2	1	2:2000	5
1011	周边换购	学校开放日的申请	7311	1002	4001:2;4002:2	1	2:2000	5
1012	地下渠道	来自地下渠道的消息	7312	1002	4003:2;4004:2	1	2:2000	5
1013	周边换购	紧急替代品请求	7313	1002	4003:2;4004:2	1	5004:1	5
1014	周边换购	对手的竞争性请求	7314	1002	4003:2;4004:2	1	5004:1	5
1015	暗中交易	竞争对手提出的交易	7301	1002	4005:2;4006:2	1	2:2000	5
1016	周边换购	学校开放日的申请	7302	1002	4001:2;4002:2	1	2:2000	10
1017	地下渠道	来自地下渠道的消息	7303	1002	4007:2;4008:2	1	9002:2	10
1018	周边换购	紧急替代品请求	7304	1002	4001:2;4002:2	1	9002:2	10
1019	周边换购	对手的竞争性请求	7305	1002	4011:2;4012:2	1	2:2000	10
1020	暗中交易	竞争对手提出的交易	7306	1002	4008:2;4009:2	1	5005:30	10
1021	周边换购	学校开放日的申请	7307	1002	4003:2;4004:2	1	5005:30	10
1022	地下渠道	来自地下渠道的消息	7308	1002	4005:2;4006:2	1	5005:30	10
1023	周边换购	紧急替代品请求	7309	1002	4005:2;4006:2	1	2:2000	10
1024	周边换购	对手的竞争性请求	7310	1002	4001:4;4002:4	2	2:4000	15
1025	暗中交易	竞争对手提出的交易	7311	1002	4007:4;4008:4	2	5005:30	15
1026	周边换购	学校开放日的申请	7312	1002	4008:4;4009:4	2	5005:30	15
1027	地下渠道	来自地下渠道的消息	7313	1002	4003:4;4004:4	2	2:4000	15
1028	周边换购	紧急替代品请求	7314	1002	4003:4;4004:4	2	5004:3	15
1029	周边换购	对手的竞争性请求	7301	1002	4005:4;4006:4	2	9002:3	15
1030	暗中交易	竞争对手提出的交易	7302	1002	4001:5;4002:5	3	5004:4	20
1031	周边换购	学校开放日的申请	7303	1002	4009:5;4010:5	3	9002:4	20
1032	地下渠道	来自地下渠道的消息	7304	1002	4003:5;4004:5	3	5005:35	20
1033	周边换购	紧急替代品请求	7305	1002	4007:5;4008:5	3	2:6000	20
1034	周边换购	对手的竞争性请求	7306	1002	4011:6;4004:12	4	5005:45	25
1035	暗中交易	竞争对手提出的交易	7307	1002	4005:6;4006:6	4	9002:5	25
1036	周边换购	学校开放日的申请	7308	1003	4001:2;4002:2	1	2:4000	5
1037	地下渠道	来自地下渠道的消息	7309	1003	4003:2;4004:2	1	5005:10	5
1038	周边换购	紧急替代品请求	7310	1003	4001:2;4002:2	1	5005:11	5
1039	周边换购	对手的竞争性请求	7311	1003	4003:2;4004:2	1	5005:12	5
1040	暗中交易	竞争对手提出的交易	7312	1003	4005:2;4006:2	1	2:4000	5
1041	周边换购	学校开放日的申请	7313	1003	4005:2;4006:2	1	2:4000	5
1042	地下渠道	来自地下渠道的消息	7314	1003	4015:2;4016:2	1	5005:10	5
1043	周边换购	紧急替代品请求	7301	1003	4010:2;4011:2	1	5005:11	5
1044	周边换购	对手的竞争性请求	7302	1003	4013:2;4014:2	1	5005:12	5
1045	暗中交易	竞争对手提出的交易	7303	1003	4001:2;4002:2	1	2:4000	5
1046	周边换购	学校开放日的申请	7304	1003	4017:2;4018:2	1	2:4000	5
1047	地下渠道	来自地下渠道的消息	7305	1003	4003:2;4004:2	1	2:4000	5
1048	周边换购	紧急替代品请求	7306	1003	4003:2;4004:2	1	5004:1	5
1049	周边换购	对手的竞争性请求	7307	1003	4005:2;4006:2	1	5004:1	5
1050	暗中交易	竞争对手提出的交易	7308	1003	4005:2;4006:2	1	9002:2	10
1051	周边换购	学校开放日的申请	7309	1003	4007:2;4008:2	1	9002:2	10
1052	地下渠道	来自地下渠道的消息	7310	1003	4008:2;4009:2	1	2:4000	10
1053	周边换购	紧急替代品请求	7311	1003	4011:2;4012:2	1	5005:30	10
1054	周边换购	对手的竞争性请求	7312	1003	4013:2;4014:2	1	5005:30	10
1055	暗中交易	竞争对手提出的交易	7313	1003	4001:4;4002:4	1	5005:30	10
1056	周边换购	学校开放日的申请	7314	1003	4017:4;4018:4	1	2:4000	10
1057	地下渠道	来自地下渠道的消息	7301	1003	4003:4;4004:4	1	9002:2	10
1058	周边换购	紧急替代品请求	7302	1003	4015:4;4016:4	2	2:12000	15
1059	周边换购	对手的竞争性请求	7303	1003	4005:4;4006:4	2	5005:30	15
1060	暗中交易	竞争对手提出的交易	7304	1003	4013:4;4014:4	2	5005:30	15
1061	周边换购	学校开放日的申请	7305	1003	4007:4;4008:4	2	2:8000	15
1062	地下渠道	来自地下渠道的消息	7306	1003	4007:4;4008:4	2	5004:3	15
1063	周边换购	紧急替代品请求	7307	1003	4010:4;4011:4	2	9002:3	15
1064	周边换购	对手的竞争性请求	7308	1003	4013:5;4014:5	2	2:8000	15
