int	string	string	int	int	int	int	int	int	int	int
id	改编方向	改编描述	效果1	效果1权重	效果2	效果2权重	效果3	效果3权重	效果4	效果4权重
id	zh_cn_adapt	zh_cn_adapt_des	effect1	effect1_weight	effect2	effect2_weight	effect3	effect3_weight	effect4	effect4_weight
1	强化幻想元素	给剧本增加一些太空、穿越等元素来使电影的场面更加震撼，或者使剧情更加曲折，有概率写出更高星级的剧本	1	100	2	50	12	20	12	20
2	增加大场面比例	有概率使电影的场面更加宏伟宽阔，有可能会提升剧本的星级，使电影更加吸引人	3	100	5	50	14	20	14	20
3	修改人物背景	可以选择充实剧本的剧情，有可能降低某位角色的门槛，更讨媒体喜爱	4	100	6	50	2	20	2	20
4	增强灾难效果	此处留给王滢100字	5	100	9	50	4	20	4	20
5	重新设计角色	重新设计一些角色来增强剧本的剧情，有概率写出更高星级的剧本，还有概率发掘剧本的一个隐藏角色	6	100	8	50	5	20	5	20
6	重新设计对白	略	2	100	10	50	1	20	1	20
7	强化人文元素	新加一些艺术、政治等因素，使剧本的剧情得到升华，还有概率提升剧本的星级，使媒体更看好这部电影。	3	100	11	50	7	20	7	20
8	强化剧情戏剧性	给剧本一些浪漫、复仇等桥段，有可能会提升剧本的星级	1	100	13	50	8	20	8	20
9	强化角色矛盾	此处留给王滢100字	2	100	11	50	1	20	5	20
10	重新设计角色内心戏	此处留给王滢100字	2	100	11	50	1	20	5	20
