int	int	int	int	int	int
ID	类型1=真心话2=大冒险	道具类型1=道具2=艺人碎片	道具ID	数量	权重
id	type	itemtype	itme	quantity	weights
1001	1	2	7080	1	15
1002	1	2	7080	3	10
1003	1	2	7080	5	8
1004	1	2	7081	1	15
1005	1	2	7081	3	10
1006	1	2	7081	5	8
1007	1	2	7082	1	15
1008	1	2	7082	3	10
1009	1	2	7082	5	8
1010	1	2	7083	1	15
1011	1	2	7083	3	10
1012	1	2	7083	5	8
1013	1	2	7084	1	15
1014	1	2	7084	3	10
1015	1	2	7084	5	8
1016	1	2	7085	1	15
1017	1	2	7085	3	10
1018	1	2	7085	5	8
1019	1	2	7086	1	15
1020	1	2	7086	3	10
1021	1	2	7086	5	8
1022	1	2	7087	1	15
1023	1	2	7087	3	10
1024	1	2	7087	5	8
1025	1	2	7088	1	15
1026	1	2	7088	3	10
1027	1	2	7088	5	8
1028	1	2	7089	1	15
1029	1	2	7089	3	10
1030	1	2	7089	5	8
1031	2	2	7090	1	25
1032	2	2	7090	3	22
1033	2	2	7090	5	20
1034	2	2	7090	10	19
1035	2	2	7091	1	25
1036	2	2	7091	3	22
1037	2	2	7091	5	20
1038	2	2	7091	10	19
1039	2	2	7092	1	25
1040	2	2	7092	3	22
1041	2	2	7092	5	20
1042	2	2	7092	10	19
1043	2	2	7093	1	25
1044	2	2	7093	3	22
1045	2	2	7093	5	20
1046	2	2	7093	10	19
1047	2	2	7094	1	25
1048	2	2	7094	3	22
1049	2	2	7094	5	20
1050	2	2	7094	10	19
1051	2	2	7095	1	25
1052	2	2	7095	3	22
1053	2	2	7095	5	20
1054	2	2	7095	10	19
1055	2	2	7096	1	25
1056	2	2	7096	3	22
1057	2	2	7096	5	20
1058	2	2	7096	10	19
1059	2	2	7097	1	25
1060	2	2	7097	3	22
1061	2	2	7097	5	20
1062	2	2	7097	10	19
1063	2	2	7098	1	25
1064	2	2	7098	3	22
1065	2	2	7098	5	20
1066	2	2	7098	10	19
1067	2	2	7099	1	25
1068	2	2	7099	3	22
1069	2	2	7099	5	20
1070	2	2	7099	10	19
1071	2	1	5005	100	30
1072	2	1	5005	200	20
1073	2	1	5005	300	20
1074	2	1	5005	600	10
1075	2	1	5005	400	20
1076	2	1	8001	100	30
1077	2	1	8001	140	20
1078	2	1	8003	10	40
1079	2	1	8003	12	30
1080	2	1	5004	4	40
1081	2	1	5007	2	20
1082	2	1	5002	20	20
1083	2	1	5002	40	30
1084	2	1	5002	100	20
1085	2	1	5008	2	10
1086	2	1	5008	4	20
1087	1	1	5005	50	30
1088	1	1	5005	100	20
1089	1	1	5005	150	20
1090	1	1	5005	300	10
1091	1	1	5005	200	20
1092	1	1	8001	50	30
1093	1	1	8001	70	20
1094	1	1	8003	5	40
1095	1	1	8003	6	30
1096	1	1	5004	2	40
1097	1	1	5007	1	20
1098	1	1	5002	10	20
1099	1	1	5002	20	30
1100	1	1	5002	50	20
1101	1	1	5008	1	10
1102	1	1	5008	2	20
