int	string	int	int	DTItemNum[]	DTItemNum[]	DTItemNum[]	bool	DTItemNum
id	名称	排行榜类型	名次	单次电影奖励	总票房奖励	总票房额外奖励	是否可祝贺	祝贺奖励
id	name	type	rank	movie_reward	box_office_reward	extra_reward	congratulate_switch	congratulate_reward
1001	总票房第1名	1	1		14:2	8905:5	1	1:10
1002	总票房第2名	1	2		14:1	8905:3	1	1:10
1003	总票房第3名	1	3		14:1	8905:2	1	1:10
1004	总票房第4名	1	4		14:1	8905:2	0	
1005	总票房第5名	1	5		14:1	8905:2	0	
1006	总票房第6名	1	6		14:1	8905:1	0	
1007	总票房第7名	1	7		14:1	8905:1	0	
1008	总票房第8名	1	8		14:1	8905:1	0	
1009	总票房第9名	1	9		14:1	8905:1	0	
1010	总票房第10名	1	10		14:1	8905:1	0	
1011	总票房第11名	1	11		14:1		0	
1012	总票房第12名	1	12		14:1		0	
1013	总票房第13名	1	13		14:1		0	
1014	总票房第14名	1	14		14:1		0	
1015	总票房第15名	1	15		14:1		0	
1016	总票房第16名	1	16		14:1		0	
1017	总票房第17名	1	17		14:1		0	
1018	总票房第18名	1	18		14:1		0	
1019	总票房第19名	1	19		14:1		0	
1020	总票房第20名	1	20		14:1		0	
1021	总票房第21名	1	21		14:1		0	
1022	总票房第22名	1	22		14:1		0	
1023	总票房第23名	1	23		14:1		0	
1024	总票房第24名	1	24		14:1		0	
1025	总票房第25名	1	25		14:1		0	
1026	总票房第26名	1	26		14:1		0	
1027	总票房第27名	1	27		14:1		0	
1028	总票房第28名	1	28		14:1		0	
1029	总票房第29名	1	29		14:1		0	
1030	总票房第30名	1	30		14:1		0	
2001	单次票房第1名	2	1	8001:120			1	1:10
2002	单次票房第2名	2	2	8001:100			1	1:10
2003	单次票房第3名	2	3	8001:90			1	1:10
2004	单次票房第4名	2	4	8001:80			0	
2005	单次票房第5名	2	5	8001:70			0	
2006	单次票房第6名	2	6	8001:60			0	
2007	单次票房第7名	2	7	8001:60			0	
2008	单次票房第8名	2	8	8001:60			0	
2009	单次票房第9名	2	9	8001:60			0	
2010	单次票房第10名	2	10	8001:60			0	
2011	单次票房第11名	2	11	8001:50			0	
2012	单次票房第12名	2	12	8001:50			0	
2013	单次票房第13名	2	13	8001:50			0	
2014	单次票房第14名	2	14	8001:50			0	
2015	单次票房第15名	2	15	8001:50			0	
2016	单次票房第16名	2	16	8001:50			0	
2017	单次票房第17名	2	17	8001:50			0	
2018	单次票房第18名	2	18	8001:50			0	
2019	单次票房第19名	2	19	8001:50			0	
2020	单次票房第20名	2	20	8001:50			0	
2021	单次票房第21名	2	21	8001:40			0	
2022	单次票房第22名	2	22	8001:40			0	
2023	单次票房第23名	2	23	8001:40			0	
2024	单次票房第24名	2	24	8001:40			0	
2025	单次票房第25名	2	25	8001:40			0	
2026	单次票房第26名	2	26	8001:40			0	
2027	单次票房第27名	2	27	8001:40			0	
2028	单次票房第28名	2	28	8001:40			0	
2029	单次票房第29名	2	29	8001:40			0	
2030	单次票房第30名	2	30	8001:40			0	
2031	单次票房第31名	2	31	8001:40			0	
2032	单次票房第32名	2	32	8001:40			0	
2033	单次票房第33名	2	33	8001:40			0	
2034	单次票房第34名	2	34	8001:40			0	
2035	单次票房第35名	2	35	8001:40			0	
2036	单次票房第36名	2	36	8001:40			0	
2037	单次票房第37名	2	37	8001:40			0	
2038	单次票房第38名	2	38	8001:40			0	
2039	单次票房第39名	2	39	8001:40			0	
2040	单次票房第40名	2	40	8001:40			0	
2041	单次票房第41名	2	41	8001:40			0	
2042	单次票房第42名	2	42	8001:40			0	
2043	单次票房第43名	2	43	8001:40			0	
2044	单次票房第44名	2	44	8001:40			0	
2045	单次票房第45名	2	45	8001:40			0	
2046	单次票房第46名	2	46	8001:40			0	
2047	单次票房第47名	2	47	8001:40			0	
2048	单次票房第48名	2	48	8001:40			0	
2049	单次票房第49名	2	49	8001:40			0	
2050	单次票房第50名	2	50	8001:40			0	
