int	int	int
等级id	每次产出	上限
id	once	max
1	82	164
2	84	168
3	86	172
4	88	176
5	90	180
6	92	184
7	94	188
8	96	192
9	98	196
10	100	200
11	102	204
12	104	208
13	106	212
14	108	216
15	110	220
16	112	224
17	114	228
18	116	232
19	118	236
20	120	240
21	122	244
22	124	248
23	126	252
24	128	256
25	130	260
26	132	264
27	134	268
28	136	272
29	138	276
30	140	280
31	142	284
32	144	288
33	146	292
34	148	296
35	150	300
36	152	304
37	154	308
38	156	312
39	158	316
40	160	320
41	190	380
42	220	440
43	250	500
44	280	560
45	310	620
46	340	680
47	370	740
48	400	800
49	430	860
50	460	920
51	490	980
52	520	1040
53	550	1100
54	580	1160
55	610	1220
56	640	1280
57	670	1340
58	700	1400
59	730	1460
60	760	1520
61	790	1580
62	820	1640
63	850	1700
64	880	1760
65	910	1820
66	940	1880
67	970	1940
68	1000	2000
69	1030	2060
70	1060	2120
71	1090	2180
72	1120	2240
73	1150	2300
74	1180	2360
75	1210	2420
76	1240	2480
77	1270	2540
78	1300	2600
79	1330	2660
80	1360	2720
81	1390	2780
82	1420	2840
83	1450	2900
84	1480	2960
85	1510	3020
86	1540	3080
87	1570	3140
88	1600	3200
89	1630	3260
90	1660	3320
91	1690	3380
92	1720	3440
93	1750	3500
94	1780	3560
95	1810	3620
96	1840	3680
97	1870	3740
98	1900	3800
99	1930	3860
100	1960	3920
101	2020	4040
102	2080	4160
103	2140	4280
104	2200	4400
105	2260	4520
106	2320	4640
107	2380	4760
108	2440	4880
109	2500	5000
110	2560	5120
111	2620	5240
112	2680	5360
113	2740	5480
114	2800	5600
115	2860	5720
116	2920	5840
117	2980	5960
118	3040	6080
119	3100	6200
120	3160	6320
121	3240	6480
122	3320	6640
123	3400	6800
124	3480	6960
125	3560	7120
126	3640	7280
127	3720	7440
128	3800	7600
129	3880	7760
130	3960	7920
131	4040	8080
132	4120	8240
133	4200	8400
134	4280	8560
135	4360	8720
136	4440	8880
137	4520	9040
138	4600	9200
139	4680	9360
140	4760	9520
141	4860	9720
142	4960	9920
143	5060	10120
144	5160	10320
145	5260	10520
146	5360	10720
147	5460	10920
148	5560	11120
149	5660	11320
150	5760	11520
151	5860	11720
152	5960	11920
153	6060	12120
154	6160	12320
155	6260	12520
156	6360	12720
157	6460	12920
158	6560	13120
159	6660	13320
160	6760	13520
161	6880	13760
162	7000	14000
163	7120	14240
164	7240	14480
165	7360	14720
166	7480	14960
167	7600	15200
168	7720	15440
169	7840	15680
170	7960	15920
171	8080	16160
172	8200	16400
173	8320	16640
174	8440	16880
175	8560	17120
176	8680	17360
177	8800	17600
178	8920	17840
179	9040	18080
180	9160	18320
181	9300	18600
182	9440	18880
183	9580	19160
184	9720	19440
185	9860	19720
186	10000	20000
187	10140	20280
188	10280	20560
189	10420	20840
190	10560	21120
191	10700	21400
192	10840	21680
193	10980	21960
194	11120	22240
195	11260	22520
196	11400	22800
197	11540	23080
198	11680	23360
199	11820	23640
200	11960	23920
201	12120	24240
202	12280	24560
203	12440	24880
204	12600	25200
205	12760	25520
206	12920	25840
207	13080	26160
208	13240	26480
209	13400	26800
210	13560	27120
211	13720	27440
212	13880	27760
213	14040	28080
214	14200	28400
215	14360	28720
216	14520	29040
217	14680	29360
218	14840	29680
219	15000	30000
220	15160	30320
221	15340	30680
222	15520	31040
223	15700	31400
224	15880	31760
225	16060	32120
226	16240	32480
227	16420	32840
228	16600	33200
229	16780	33560
230	16960	33920
231	17140	34280
232	17320	34640
233	17500	35000
234	17680	35360
235	17860	35720
236	18040	36080
237	18220	36440
238	18400	36800
239	18580	37160
240	18760	37520
241	18960	37920
242	19160	38320
243	19360	38720
244	19560	39120
245	19760	39520
246	19960	39920
247	20160	40320
248	20360	40720
249	20560	41120
250	20760	41520
251	20960	41920
252	21160	42320
253	21360	42720
254	21560	43120
255	21760	43520
256	21960	43920
257	22160	44320
258	22360	44720
259	22560	45120
260	22760	45520
261	22980	45960
262	23200	46400
263	23420	46840
264	23640	47280
265	23860	47720
266	24080	48160
267	24300	48600
268	24520	49040
269	24740	49480
270	24960	49920
271	25180	50360
272	25400	50800
273	25620	51240
274	25840	51680
275	26060	52120
276	26280	52560
277	26500	53000
278	26720	53440
279	26940	53880
280	27160	54320
281	27400	54800
282	27640	55280
283	27880	55760
284	28120	56240
285	28360	56720
286	28600	57200
287	28840	57680
288	29080	58160
289	29320	58640
290	29560	59120
291	29800	59600
292	30040	60080
293	30280	60560
294	30520	61040
295	30760	61520
296	31000	62000
297	31240	62480
298	31480	62960
299	31720	63440
300	31960	63920
301	33220	66440
302	34480	68960
303	35740	71480
304	37000	74000
305	38260	76520
306	39520	79040
307	40780	81560
308	42040	84080
309	43300	86600
310	44560	89120
311	45820	91640
312	47080	94160
313	48340	96680
314	49600	99200
315	50860	101720
316	52120	104240
317	53380	106760
318	54640	109280
319	55900	111800
320	57160	114320
321	57440	114880
322	57720	115440
323	58000	116000
324	58280	116560
325	58560	117120
326	58840	117680
327	59120	118240
328	59400	118800
329	59680	119360
330	59960	119920
331	60240	120480
332	60520	121040
333	60800	121600
334	61080	122160
335	61360	122720
336	61640	123280
337	61920	123840
338	62200	124400
339	62480	124960
340	62760	125520
341	63060	126120
342	63360	126720
343	63660	127320
344	63960	127920
345	64260	128520
346	64560	129120
347	64860	129720
348	65160	130320
349	65460	130920
350	65760	131520
351	66060	132120
352	66360	132720
353	66660	133320
354	66960	133920
355	67260	134520
356	67560	135120
357	67860	135720
358	68160	136320
359	68460	136920
360	68760	137520
361	69080	138160
362	69400	138800
363	69720	139440
364	70040	140080
365	70360	140720
366	70680	141360
367	71000	142000
368	71320	142640
369	71640	143280
370	71960	143920
371	72280	144560
372	72600	145200
373	72920	145840
374	73240	146480
375	73560	147120
376	73880	147760
377	74200	148400
378	74520	149040
379	74840	149680
380	75160	150320
381	75500	151000
382	75840	151680
