int	int	int	int	int	int	int	int	int	int	int	int	bool	DTVector2	string	string	int	bool	int	bool	int	bool	bool	string	string
ID|n|引导ID	引导组	顺序	引导完成条件:|n|1建造建筑|n|2升级建筑|n|3升级艺人|n|4招募艺人|n|5街道宣传|n|6进行路演|n|7占领城市|n|8拍摄电影|n|9查看电影收益|n|10领取电影收益次数|n|11提升关注度|n|12任命形象大使|n|13选择重点宣传城市|n|14领取城市收益|n|15进行生产|n|16完成订单|n|17处理公务|n|18接待粉丝|n|19领取电影收益数量|n|20点击引导对象|n|21开拓楼层|n|22选中国家|n|23选中城市|n|24点击指定页面任意地方|n|25订单物品装箱|n|26选择剧本拍摄|n|27消耗许可证拍摄|n|28拍摄|n|29勾选小秘书或者点击|n|30放置代言人或者点击	引导完成参数|n|1建筑ID|n|2建筑ID|n|3艺人等级|n|4拥有艺人数量|n|5街道ID|n|6城市ID|n|7城市ID|n|8拍摄电影数量|n|9打开收益界面|n|10领取收益次数|n|11电影关注度次数|n|12城市ID|n|13宣传城市ID|n|14领取城市收益数量|n|15生产次数|n|16完成订单数量|n|17处理公务数量|n|18接待粉丝次数|n|19领取电影收益数量|n|20无|n|21无|n|22国家ID|n|23城市ID|n|24页面ID|n|25装箱物品数量|n|28拍摄状态id|n|29 6 自动宣传次数 7 自动处理公务次数8 自动接待次数	副要求参数|n|2建筑等级|n|3艺人数量|n|12形象大使数量	触发条件|n|1.完成同组引导|n|2.拥有正在收益的电影|n|3.拥有订单|n|4.房间ID|n|5.当前选中的电影是否正在持续收益|n|6.选择的艺人|n|7.是否拥有正在等候的粉丝	触发参数|n|1.同组引导id|n|2.链接引导ID|n|3.链接引导ID|n|4.房间ID|n|6.艺人等级|n|7.有则触发的引导id	触发失败返回的引导id	下一组引导	GuidePath 中对应的id	path_par1	小半身像对话框|n|0=不出现|n|1=出现	小半身像对话框位置	内容	content	手指方向:|n||n|0=无|n|1=上|n|2=下|n|3=左|n|4=右	光圈|n|0=不出现|n|1=出现	光圈半径	是否触发剧情|n|0=否|n|1=是	触发剧情id	强制引导|n|0弱引导|n|1强引导	小秘书停留|n|0：否|n|1：是	备注	备注2
id	group	order	finish_type	finish_value_1	finish_value_2	trigger_type	trigger_value	break_guide	next_guide	path_id	path_par1	assistant	position	cn_content	en_content	f_direction	halo	radius	storyline	storyline_id	force	stay	tips	tips2
100101	1001	1	21							100101		1	0;400	准备了这么久，终于要正式开业了，真让人激动呢！		1	1	60	1	100201	0	0	开业扩建第一层	点击扩建
100201	1002	1	20							100102		1	0;400	楼层扩建成功，让我们开始建造吧！		1	1	60			0	0	建造电影院	点击建造
100202	1002	2	1	1						100103	1	1	0;400	选择电影院就可以进行建造啦！		1	1	60	1	100501	0	0	建造电影院	点击电影院
100301	1003	1	21							100101		1	0;400	建摄影棚需要更大的空间，让我们先把顶层扩建吧！		1	1	60			0	0	建造摄影棚	点击扩建
100302	1003	2	20							100102		1	0;400	楼层扩建成功，让我们开始建造吧！		1	1	60			0	0	建造摄影棚	点击建造
100303	1003	3	1	2						100103	2	1	0;400	选择摄影棚就可以进行建造啦！		1	1	60			0	0	建造摄影棚	点击摄影棚
100401	1004	1	20							300101		1	0;180	现在就可以开始拍摄了哦！		1	1	60			0	0	拍摄第一部电影	点击拍摄
100402	1004	2	28	2						300102		1	0;180	让我们来看看收到的剧本都有哪些吧！		1	1	60	1	100601	0	0	拍摄第一部电影	点击开始拍摄
100403	1004	3	28	4						300103		1	0;180	除了受众类型，也要考虑剧本与我们旗下艺人的契合度哦！		1	1	60			0	0	拍摄第一部电影	点击剧本
100404	1004	4	28	11						300108		1	0;180	拍摄类型也是至关重要的哦，如果类型与剧本题材相契合，也能进一步提高电影的品质！		1	1	60	1	100701	0	0	拍摄第一部电影	无
100501	1005	1	20			2		999999		300111		1	0;180	这里就能看到当前上映中电影的持续收益啦！让我们领取当前收益吧！		1	1	60			0	0	领取一次电影收益	点击后续电影
100502	1005	2	10	1						300105		0	0			1	1	60			0	0	领取一次电影收益	点击领取收益
100601	1006	1	21							100101		1	0;400	建艺人教室需要更大的空间，让我们先把顶层扩建吧！		1	1	60			0	0	建造艺人教室	点击扩建
100602	1006	2	20							100102		1	0;400	楼层扩建成功，让我们开始建造吧！		1	1	60			0	0	建造艺人教室	点击建造
100603	1006	3	1	3						100103	3	0	0			1	1	60			0	0	建造艺人教室	点击艺人教师
100701	1007	1	20							400101		1	0;180	让我们先进入艺人部门吧！		1	1	60			0	0	获得第二个艺人	点击艺人icon
100702	1007	2	20							400102		1	0;180	星探们已经开始忙碌了，来看看他们有什么收获吧！		1	1	60			0	0	获得第二个艺人	点击星探
100703	1007	3	20							400103		1	0;180	看看星探给出的候选人列表吧！		1	1	60			0	0	获得第二个艺人	点击探查
100704	1007	4	4	2						400105		1	0;428	下面是本次星探列出的候选人们，选择你认为合适的艺人进行签约吧！		1	1	60			0	0	获得第二个艺人	探查成功
100801	1008	1	20							400101		1	0;180	让我们先进入艺人部门吧！		1	1	60			0	0	一个艺人到5级	点击艺人icon
100802	1008	2	20							400106	10	1	0;180	选择你想要升级的艺人！		1	1	60			0	0	一个艺人到5级	点击列表的全局
100803	1008	3	3	10	1					400104		1	0;180	把选中艺人提升到10级吧！		1	1	60			0	1	一个艺人到5级	点击升级
100901	1009	1	21							100101		1	0;400	建市场部需要更大的空间，让我们先把顶层扩建吧！		1	1	60			0	0	建造市场部	点击扩建
100902	1009	2	20							100102		0	0			1	1	60			0	0	建造市场部	点击建造
100903	1009	3	1	4						100103	4	0	0			1	1	60			0	0	建造市场部	点击市场部
101001	1010	1	20							500101		1	0;180	先来看看我们的市场版图吧！		1	1	60			0	0	宣传星光大道	点击市场ICON
101002	1010	2	22	101						500102	101					1	1	60			0	0	进入美国	点击国家
101003	1010	3	23	1101						500103	1101					1	1	60	1	101001	0	0	进入洛杉矶	点击城市
101004	1010	4	20							500104		1	0;180	让我们从这里进入街道开始宣传吧！		1	1	60			0	0	宣传星光大道	点击街道
101005	1010	5	30	11001						500106		1	0;180	让签约艺人参与宣传能够更好的调动观众热情，提高宣传效率喔！		1	1	60			0	0	加入代言人宣传第二个街道	点击代言人
101006	1010	6	5	11001						500105		1	0;180	代言人已经准备就绪，让我们开始这次宣传活动吧！		1	1	60			0	1	宣传星光大道	点击宣传
101101	1011	1	20							100104	4	1	0;180	让我们对市场部进行升级吧！		1	1	60			0	0	升级市场部	点击市场部标题
101102	1011	2	2	4	2	4	4			100105		0	0			1	1	60			0	0	升级市场部	点击市场部标题
101201	1012	1	20			2		999999		300104		1	0;180	这里就能看到当前上映中电影的持续收益啦！		1	1	60			0	0	提高一次电影关注度	点击后续电影
