int	string	string	int	string
id	key	说明	参数	备注
id	key	zh_cn_info	par	description
1	license	每天可派秘书申请{0}张许可证	1	废弃不用，根据玩家街区等级变化
2	skill_exp	艺人技能训练经验增加{0}%	100	
3	train_time	艺人培养时间减少{0}%	20	
4	search_time	星探等待时间减少{0}%	50	
5	star_search	每天额外星探次数增加{0}	3	
6	city_times	城市自动宣传次数：{0}	50	
7	work_times	自动处理公务次数：{0}	50	
8	visit_times	自动接待次数：{0}	50	
9	secretary_exp_start	秘书体验活动开始时间：{0}	1530154116	
10	secretary_exp_end	秘书体验活动结束时间：{0}	1530158116	
11	application_duration		14400	许可证申请时长
12	application_license		4	申请许可证物品类型
13	application_license_num		1	申请许可证物品数量
