int	int	string	string	int	string	int
id	发言人类型	说话内容	备注	气泡持续时间（毫秒）	播放动作	动作持续时间（毫秒）
id	compere_type	content	remaks	content_duration	act	act_duration
1001	1	欢迎大家参加{0}公司路演！我是主持人！现在路演开始，{1}将作为第一个登场的艺人！	0=公司名，1=下一个上台艺人名	2000	1025	2000
1002	1	我们来看看{0}的支持率，{1}，还不错！	0=当前艺人名，1=热度值	1000	1025	1000
1003	1	表演完了吗？感觉观众没有被完全点燃啊，我不得不宣布{0}公司的路演失败了！	0=当前城市名	3000	1025	3000
1004	1	太棒了！现场观众的热情真高！我宣布，{0}公司的路演成功！	0=当前城市名	3000	1025	3000
2001	2	{0}的各位好！	0=当前城市名	1000	1025	1000
2002	2	我们{0}影业最棒了！	0=公司名	1000	1025	1000
2003	2	{0}，我爱你！	0=当前城市名	1000	1025	1000
2004	2	我{0}的电影绝对不会让大家失望！	0=当前艺人名	1000	1025	1000
2005	2	其实我很熟悉{0}！	0=当前城市名	1000	1025	1000
2006	2	我好喜欢{0}这座城市！	0=当前城市名	1000	1025	1000
2007	2	山顶的朋友我想听到你们的声音！		1000	1025	1000
2008	2	{0}的风景好漂亮！	0=当前城市名	1000	1025	1000
