int	string	int	int	int	DTItemNum
id	名称	进阶等级	能力增幅	训练时间	训练消耗
id	name	advanced_level	increase	train_time	train_cost
1001201	特浪谱	1	1	120	1:10
1001202	特浪谱	2	2	240	1:11
1001203	特浪谱	3	3	360	1:12
1001204	特浪谱	4	4	480	1:13
1001205	特浪谱	5	5	600	1:14
1001206	特浪谱	6	6	720	1:15
1001207	特浪谱	7	7	840	1:16
1001208	特浪谱	8	8	960	1:17
1001209	特浪谱	9	9	1080	1:18
1001210	特浪谱	10	10	1200	1:19
1001211	特浪谱	11	11	1320	1:20
1001212	特浪谱	12	12	1440	1:21
1001213	特浪谱	13	13	1560	1:22
1001214	特浪谱	14	14	1680	1:23
1001215	特浪谱	15	15	1800	1:24
1001216	特浪谱	16	16	1920	1:25
1001217	特浪谱	17	17	2040	1:26
1001218	特浪谱	18	18	2160	1:27
1001219	特浪谱	19	19	2280	1:28
1001220	特浪谱	20	20	2400	1:29
1001221	特浪谱	21	21	2520	1:30
1001222	特浪谱	22	22	2640	1:31
1001223	特浪谱	23	23	2760	1:32
1001224	特浪谱	24	24	2880	1:33
1001225	特浪谱	25	25	3000	1:34
1001226	特浪谱	26	26	3120	1:35
1001227	特浪谱	27	27	3240	1:36
1001228	特浪谱	28	28	3360	1:37
1001229	特浪谱	29	29	3480	1:38
1001230	特浪谱	30	30	3600	1:39
1001231	特浪谱	31	31	3720	1:40
1001232	特浪谱	32	32	3840	1:41
1001233	特浪谱	33	33	3960	1:42
1001234	特浪谱	34	34	4080	1:43
1001235	特浪谱	35	35	4200	1:44
1001236	特浪谱	36	36	4320	1:45
1001237	特浪谱	37	37	4440	1:46
1001238	特浪谱	38	38	4560	1:47
1001239	特浪谱	39	39	4680	1:48
1001240	特浪谱	40	40	4800	1:49
1001241	特浪谱	41	41	4920	1:50
1001242	特浪谱	42	42	5040	1:51
1001243	特浪谱	43	43	5160	1:52
1001244	特浪谱	44	44	5280	1:53
1001245	特浪谱	45	45	5400	1:54
1001246	特浪谱	46	46	5520	1:55
1001247	特浪谱	47	47	5640	1:56
1001248	特浪谱	48	48	5760	1:57
1001249	特浪谱	49	49	5880	1:58
1001250	特浪谱	50	50	6000	1:59
